车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K4605,快速,广州,1:15,广州,当天----,1:15,宝鸡,8:15
K4606,快速,宝鸡,16:15,广州,第2日00:30,0:30,广州,0:30
K4646,快速,广州,10:15,广州,当天----,10:15,梁平,17:05
K485,快速,成都东,12:37,广州,第2日17:16,17:26,深圳,19:56
K486,快速,深圳,10:55,广州,当天12:44,13:04,成都东,17:33
K487,快速,深圳,10:55,广州,当天12:44,13:04,成都东,17:33
K488,快速,成都东,12:37,广州,第2日17:16,17:26,深圳,19:56
K501,快速,成都东,12:09,广州,第2日14:57,15:07,深圳东,16:42
K502,快速,深圳东,5:26,广州,当天07:20,7:30,成都东,10:53
K503,快速,深圳东,5:26,广州,当天07:20,7:30,成都东,10:53
K504,快速,成都东,12:09,广州,第2日14:57,15:07,深圳东,16:42
K511,快速,上海南,19:21,广州,第2日16:51,17:12,海口,6:00
K512,快速,海口,19:30,广州,第2日07:50,8:13,上海南,8:49
K527,快速,南京,14:38,广州,第2日18:30,18:30,广州,18:30
K528,快速,广州,7:52,广州,当天----,7:52,南京,8:16
K535,快速,洛阳,16:52,广州,第2日15:28,15:40,深圳,17:42
K536,快速,深圳,14:08,广州,当天15:57,16:12,洛阳,15:32
K538,快速,洛阳,16:52,广州,第2日15:28,15:40,深圳,17:42
K585,快速,成都,17:52,广州,第3日04:37,4:47,深圳西,7:10
K586,快速,深圳西,8:50,广州,当天11:24,11:44,成都,22:59
K587,快速,深圳西,8:50,广州,当天11:24,11:44,成都,22:59
K588,快速,成都,17:52,广州,第3日04:37,4:47,深圳西,7:10
K597,快速,广州,15:09,广州,当天15:09,15:09,包头,9:23
K598,快速,包头,16:53,广州,第3日10:52,10:52,广州,10:52
K599,快速,包头,16:53,广州,第3日10:52,10:52,广州,10:52
K600,快速,广州,15:09,广州,当天----,15:09,包头,9:23
K641,快速,十堰,17:00,广州,第2日12:05,12:05,广州,12:05
K642,快速,广州,16:20,广州,当天----,16:20,十堰,10:53
K643,快速,广州,16:20,广州,当天16:20,16:20,十堰,10:53
K644,快速,十堰,17:00,广州,第2日12:05,12:05,广州,12:05
K6534,快速,广州,5:20,广州,当天----,5:20,娄底,17:07
K6538,快速,广州,3:47,广州,当天----,3:47,邵阳,11:55
K6582,快速,广州,6:02,广州,当天----,6:02,常德,16:38
