车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G9275,高速,安庆,12:38,上海,当天16:59,16:59,上海,16:59
G9276,高速,上海,7:10,上海,当天----,7:10,安庆,11:23
G9277,高速,上海,7:10,上海,当天07:10,7:10,安庆,11:23
G9278,高速,安庆,12:38,上海,当天16:59,16:59,上海,16:59
K1046,快速,漯河,14:40,上海,第2日05:04,5:04,上海,5:04
K1047,快速,漯河,14:40,上海,第2日05:04,5:04,上海,5:04
K1048,快速,上海,22:04,上海,当天----,22:04,漯河,11:52
K1101,快速,安阳,16:14,上海,第2日08:59,8:59,上海,8:59
K1102,快速,上海,13:44,上海,当天----,13:44,安阳,6:30
K1103,快速,上海,13:44,上海,当天----,13:44,安阳,6:30
K1104,快速,安阳,16:14,上海,第2日08:59,8:59,上海,8:59
K1155,快速,成都,8:29,上海,第2日14:40,14:40,上海,14:40
K1156,快速,上海,11:16,上海,当天----,11:16,成都,17:01
K1157,快速,上海,11:16,上海,当天11:16,11:16,成都,17:01
K1158,快速,成都,8:29,上海,第2日14:40,14:40,上海,14:40
K1331,快速,银川,12:20,上海,第2日16:16,16:16,上海,16:16
K1332,快速,上海,18:17,上海,当天----,18:17,银川,23:58
K1333,快速,上海,18:17,上海,当天----,18:17,银川,23:58
K1334,快速,银川,12:20,上海,第2日16:16,16:16,上海,16:16
K1505,快速,周口,9:26,上海,当天22:22,22:22,上海,22:22
K1506,快速,上海,23:41,上海,当天----,23:41,周口,12:30
K151,快速,郑州,18:13,上海,第2日06:43,6:43,上海,6:43
K152,快速,上海,16:31,上海,当天----,16:31,郑州,7:27
K153,快速,上海,16:31,上海,当天----,16:31,郑州,7:27
K154,快速,郑州,18:13,上海,第2日06:43,6:43,上海,6:43
K1555,快速,南宁,21:40,上海,第3日05:23,5:23,上海,5:23
K1556,快速,上海,10:21,上海,当天----,10:21,南宁,16:38
K1557,快速,上海,10:21,上海,当天10:21,10:21,南宁,16:38
K1558,快速,南宁,21:40,上海,第3日05:23,5:23,上海,5:23
K171,快速,日照,17:50,上海,第2日11:31,11:31,上海,11:31
K172,快速,上海,13:22,上海,当天----,13:22,日照,6:01
K174,快速,日照,17:50,上海,第2日11:31,11:31,上海,11:31
K187,快速,沈阳北,12:35,上海,第2日15:58,15:58,上海,15:58
K188,快速,上海,18:09,上海,当天----,18:09,沈阳北,23:48
K189,快速,上海,18:09,上海,当天----,18:09,沈阳北,23:48
K190,快速,沈阳北,12:35,上海,第2日15:58,15:58,上海,15:58
K2185,快速,西宁,8:40,上海,第2日18:01,18:01,上海,18:01
K2186,快速,上海,11:03,上海,当天----,11:03,西宁,21:24
K2187,快速,上海,11:03,上海,当天----,11:03,西宁,21:24
K2188,快速,西宁,8:40,上海,第2日18:01,18:01,上海,18:01
K233,快速,石家庄,13:00,上海,第2日09:05,9:05,上海,9:05
K234,快速,上海,11:09,上海,当天----,11:09,石家庄,6:17
K235,快速,上海,11:09,上海,当天----,11:09,石家庄,6:17
K236,快速,石家庄,13:00,上海,第2日09:05,9:05,上海,9:05
K281,快速,成都,18:22,上海,第3日07:12,7:12,上海,7:12
K282,快速,上海,20:14,上海,当天----,20:14,成都,9:30
K283,快速,上海,20:14,上海,当天20:14,20:14,成都,9:30
K284,快速,成都,18:22,上海,第3日07:12,7:12,上海,7:12
K289,快速,成都,16:50,上海,第3日05:35,5:35,上海,5:35
K290,快速,上海,8:51,上海,当天----,8:51,成都,20:06
K291,快速,上海,8:51,上海,当天----,8:51,成都,20:06
K292,快速,成都,16:50,上海,第3日05:35,5:35,上海,5:35
K359,快速,银川,20:34,上海,第3日05:56,5:56,上海,5:56
K360,快速,上海,9:23,上海,当天----,9:23,银川,19:31
K361,快速,上海,9:23,上海,当天----,9:23,银川,19:31
K362,快速,银川,20:34,上海,第3日05:56,5:56,上海,5:56
K371,快速,太原,16:13,上海,第2日14:46,14:46,上海,14:46
K372,快速,上海,16:03,上海,当天----,16:03,太原,12:25
K373,快速,上海,16:03,上海,当天----,16:03,太原,12:25
K374,快速,太原,16:13,上海,第2日14:46,14:46,上海,14:46
K4025,快速,上海,2:06,上海,当天----,2:06,西安,23:48
K4026,快速,西安,23:57,上海,第2日00:57,0:57,上海,0:57
K4027,快速,西安,23:57,上海,第2日00:57,0:57,上海,0:57
K4028,快速,上海,2:06,上海,当天----,2:06,西安,23:48
K4029,快速,嘉峪关,9:00,上海,第2日01:52,1:52,上海,1:52
K4030,快速,上海,3:49,上海,当天----,3:49,嘉峪关,22:59
K4031,快速,上海,3:49,上海,当天----,3:49,嘉峪关,22:59
K4032,快速,嘉峪关,9:00,上海,第2日01:52,1:52,上海,1:52
K4045,快速,新乡,11:24,上海,第2日02:49,2:49,上海,2:49
K4046,快速,上海,3:55,上海,当天----,3:55,新乡,18:52
K4047,快速,上海,3:55,上海,当天----,3:55,新乡,18:52
K4048,快速,新乡,11:24,上海,第2日02:49,2:49,上海,2:49
K4053,快速,郑州,12:15,上海,第2日02:30,2:30,上海,2:30
K4054,快速,上海,3:31,上海,当天----,3:31,郑州,18:29
K4055,快速,上海,3:31,上海,当天----,3:31,郑州,18:29
K4056,快速,郑州,12:15,上海,第2日02:30,2:30,上海,2:30
K4138,快速,上海,15:39,上海,当天----,15:39,成都,22:48
K4139,快速,上海,15:39,上海,当天15:39,15:39,成都,22:48
K4167,快速,郑州,9:55,上海,当天00:18,0:18,上海,0:18
K4168,快速,上海,1:45,上海,当天----,1:45,郑州,16:18
K4169,快速,上海,1:45,上海,当天----,1:45,郑州,16:18
K4170,快速,郑州,9:55,上海,当天00:18,0:18,上海,0:18
K4455,快速,上海,8:42,上海,当天08:42,8:42,南充,12:09
K4458,快速,上海,8:42,上海,当天----,8:42,南充,12:09
K4611,快速,石家庄北,15:30,上海,第2日13:07,13:07,上海,13:07
K4612,快速,上海,15:05,上海,当天----,15:05,石家庄北,13:28
K4613,快速,上海,15:05,上海,当天----,15:05,石家庄北,13:28
K4614,快速,石家庄北,15:30,上海,第2日13:07,13:07,上海,13:07
K4616,快速,上海,3:40,上海,当天----,3:40,成都,11:50
K4617,快速,上海,3:40,上海,当天03:40,3:40,成都,11:50
K462,快速,平顶山,17:10,上海,第2日10:20,10:20,上海,10:20
K463,快速,平顶山,16:55,上海,第2日10:20,10:20,上海,10:20
K4632,快速,上海,2:27,上海,当天----,2:27,重庆西,11:32
