车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K1540,快速,南京,14:40,郑州,当天00:03,0:11,乌鲁木齐,14:05
K157,快速,北京,18:00,郑州,第2日02:17,2:50,湛江,6:40
K158,快速,湛江,18:18,郑州,第2日21:50,22:03,北京,6:17
K1595,快速,烟台,13:53,郑州,第2日08:02,8:02,郑州,8:02
K1596,快速,郑州,16:56,郑州,当天----,16:56,烟台,9:57
K1597,快速,郑州,16:56,郑州,当天16:56,16:56,烟台,9:57
K1598,快速,烟台,13:53,郑州,第2日08:02,8:02,郑州,8:02
K16,快速,重庆西,12:07,郑州,第2日06:20,6:47,济南,15:22
K1627,快速,郑州,17:16,郑州,当天----,17:16,南宁,19:10
K1628,快速,南宁,15:08,郑州,第2日15:55,15:55,郑州,15:55
K1633,快速,郑州,20:55,郑州,当天20:55,20:55,青岛北,11:17
K1634,快速,青岛北,17:07,郑州,第2日06:30,6:30,郑州,6:30
K1635,快速,青岛北,17:07,郑州,第2日06:30,6:30,郑州,6:30
K1636,快速,郑州,20:55,郑州,当天----,20:55,青岛北,11:17
K175,快速,商丘,17:00,郑州,当天19:38,20:02,乌鲁木齐,12:34
K176,快速,乌鲁木齐,22:44,郑州,第3日15:15,15:15,郑州,15:15
K177,快速,郑州,15:30,郑州,当天----,15:30,西宁,9:35
K178,快速,西宁,11:10,郑州,第2日08:18,8:18,郑州,8:18
K179,快速,北京西,22:20,郑州,第2日06:45,6:45,郑州,6:45
K180,快速,郑州,22:12,郑州,当天----,22:12,北京西,6:16
K183,快速,北京,13:16,郑州,当天00:19,0:35,南阳,5:43
K184,快速,南阳,19:39,郑州,第2日01:17,1:34,北京,12:05
K2045,快速,沈阳北,8:00,郑州,第2日07:00,7:35,西安,14:44
K2046,快速,西安,16:06,郑州,当天23:58,0:18,沈阳北,23:06
K2047,快速,西安,16:06,郑州,当天23:58,0:18,沈阳北,23:06
K2048,快速,沈阳北,8:00,郑州,第2日07:00,7:35,西安,14:44
K205,快速,青岛,16:37,郑州,第2日05:48,6:09,成都,6:00
K206,快速,成都,17:10,郑州,第2日18:42,19:04,青岛,8:19
K207,快速,成都,17:10,郑州,第2日18:42,19:04,青岛,8:19
K208,快速,青岛,16:37,郑州,第2日05:48,6:09,成都,6:00
