,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
284,G147,高速,北京南,15:50,上海虹桥,当天22:00,22:00,上海虹桥,22:00,370,1320
286,G149,高速,北京南,16:25,上海虹桥,当天22:50,22:50,上海虹桥,22:50,385,1370
289,G1502,高速,南宁东,9:15,上海虹桥,当天21:15,21:15,上海虹桥,21:15,720,1275
291,G151,高速,北京南,16:45,上海虹桥,当天23:02,23:02,上海虹桥,23:02,377,1382
294,G153,高速,北京南,17:16,上海虹桥,当天23:11,23:11,上海虹桥,23:11,355,1391
298,G157,高速,北京南,17:36,上海虹桥,当天23:32,23:32,上海虹桥,23:32,356,1412
304,G159,高速,北京南,17:46,上海虹桥,当天23:54,23:54,上海虹桥,23:54,368,1434
308,G1632,高速,福州,7:59,上海虹桥,当天12:35,12:35,上海虹桥,12:35,276,755
310,G1634,高速,福州,9:01,上海虹桥,当天13:37,13:37,上海虹桥,13:37,276,817
312,G1636,高速,福州,12:33,上海虹桥,当天16:55,16:55,上海虹桥,16:55,262,1015
314,G1638,高速,福州,12:58,上海虹桥,当天17:21,17:21,上海虹桥,17:21,263,1041
316,G1640,高速,福州,17:55,上海虹桥,当天22:44,22:44,上海虹桥,22:44,289,1364
318,G1652,高速,厦门,9:00,上海虹桥,当天14:32,14:32,上海虹桥,14:32,332,872
320,G1654,高速,厦门北,13:11,上海虹桥,当天20:25,20:25,上海虹桥,20:25,434,1225
