车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
G7184,高速,亳州南,7:38,上海虹桥,当天12:31,12:31,上海虹桥,12:31,293,751,
G7185,高速,亳州南,7:00,上海虹桥,当天10:41,10:41,上海虹桥,10:41,221,641,
G7188,高速,亳州南,7:00,上海虹桥,当天10:41,10:41,上海虹桥,10:41,221,641,
G7195,高速,六安,13:07,上海虹桥,当天16:03,16:03,上海虹桥,16:03,176,963,
G7198,高速,六安,13:07,上海虹桥,当天16:03,16:03,上海虹桥,16:03,176,963,
G7304,高速,黄山北,9:22,上海虹桥,当天12:22,12:22,上海虹桥,12:22,180,742,
G7306,高速,黄山北,9:32,上海虹桥,当天12:39,12:39,上海虹桥,12:39,187,759,CR400BF3009
G7308,高速,黄山北,13:03,上海虹桥,当天15:46,15:46,上海虹桥,15:46,163,946,
G7310,高速,黄山北,15:59,上海虹桥,当天18:53,18:53,上海虹桥,18:53,174,1133,
G7312,高速,黄山北,16:25,上海虹桥,当天19:09,19:09,上海虹桥,19:09,164,1149,
G7320,高速,黄山北,11:48,上海虹桥,当天14:18,14:18,上海虹桥,14:18,150,858,
G7322,高速,平阳,12:14,上海虹桥,当天15:42,15:42,上海虹桥,15:42,208,942,
G7324,高速,温州南,8:55,上海虹桥,当天12:44,12:44,上海虹桥,12:44,229,764,
G7326,高速,温州南,13:03,上海虹桥,当天16:29,16:29,上海虹桥,16:29,206,989,
G7330,高速,温州南,6:32,上海虹桥,当天10:15,10:15,上海虹桥,10:15,223,615,
G7332,高速,苍南,7:51,上海虹桥,当天11:51,11:51,上海虹桥,11:51,240,711,
G7334,高速,温州南,11:24,上海虹桥,当天15:08,15:08,上海虹桥,15:08,224,908,
G7336,高速,苍南,14:03,上海虹桥,当天17:53,17:53,上海虹桥,17:53,230,1073,
G7338,高速,平阳,17:25,上海虹桥,当天21:28,21:28,上海虹桥,21:28,243,1288,
G7340,高速,温州南,18:34,上海虹桥,当天22:04,22:04,上海虹桥,22:04,210,1324,
G7344,高速,瑞安,6:34,上海虹桥,当天09:57,9:57,上海虹桥,9:57,203,597,
G7348,高速,丽水,11:19,上海虹桥,当天14:04,14:04,上海虹桥,14:04,165,844,
G7352,高速,宜兴,14:23,上海虹桥,当天16:59,16:59,上海虹桥,16:59,156,1019,
G7353,高速,宜兴,14:23,上海虹桥,当天16:59,16:59,上海虹桥,16:59,156,1019,
